Date,Price,Open,High,Low,Vol.,Change %
07/26/2024,15.45,15.5,15.59,15.45,,0.00%
07/25/2024,15.45,15.5,15.575,15.445,,0.00%
07/24/2024,15.45,15.5,15.545,15.43,,0.39%
07/23/2024,15.39,15.5,15.5,15.4,,-0.39%
07/22/2024,15.45,15.45,15.54,15.4,,0.59%
07/19/2024,15.36,15.45,15.495,15.4,,-0.26%
07/18/2024,15.4,15.45,15.495,15.35,,0.00%
07/17/2024,15.4,15.4,15.45,15.365,,0.00%
07/16/2024,15.4,15.4,15.465,15.35,,0.33%
07/15/2024,15.35,15.39,15.46,15.25,,0.00%
07/12/2024,15.35,15.4,15.535,15.25,,0.00%
07/11/2024,15.35,15.4,15.44,15.25,,0.00%
07/10/2024,15.35,15.4,15.475,15.25,,0.00%
07/09/2024,15.35,15.4,15.565,15.3,,0.00%
07/08/2024,15.35,15.4,15.615,15.25,,0.33%
07/05/2024,15.3,15.375,15.4,15.225,,0.00%
07/04/2024,15.3,15.35,15.7,15.3,,0.00%
07/03/2024,15.3,15.33,15.48,15.25,,0.13%
07/02/2024,15.28,15.35,15.375,15.25,,-0.13%
07/01/2024,15.3,15.25,15.7,15.175,,0.33%
06/28/2024,15.25,15.33,15.35,15.2,,-0.20%
06/27/2024,15.28,15.25,15.375,15.2,,0.20%
06/26/2024,15.25,15.25,15.425,15.15,,0.33%
06/25/2024,15.2,15.2,15.38,15.1,,0.66%
06/24/2024,15.1,15.2,15.325,15.075,,-0.33%
06/21/2024,15.15,15.15,15.34,15.05,,0.66%
06/20/2024,15.05,15.15,15.2,15.05,,-0.33%
06/19/2024,15.1,15.1,15.325,14.95,,0.33%
06/18/2024,15.05,15.03,15.1275,14.9,,0.33%
06/17/2024,15,15.04,15.05,15.04,,0.33%
06/14/2024,14.95,15.05,15.3,14.9,,-0.33%
06/13/2024,15,14.975,15.17,14.875,,0.67%
06/12/2024,14.9,14.975,15.15,14.9,,0.00%
06/11/2024,14.9,14.95,15.135,14.85,,0.13%
06/10/2024,14.88,14.885,15.15,14.75,,0.20%
06/07/2024,14.85,14.9,15.0425,14.815,,0.00%
06/06/2024,14.85,14.875,14.975,14.85,,0.34%
06/05/2024,14.8,14.9,14.9175,14.8,,-0.34%
06/04/2024,14.85,14.9,14.975,14.7,,0.68%
06/03/2024,14.75,14.75,14.985,14.65,,-0.34%
05/31/2024,14.8,14.74,14.9097,14.61,,0.75%
05/30/2024,14.69,14.74,14.85,14.65,,0.00%
05/29/2024,14.69,14.685,14.8,14.6,,0.27%
05/28/2024,14.65,14.65,14.83,14.5,,0.48%
05/27/2024,14.58,14.585,14.765,14.55,,0.21%
05/24/2024,14.55,14.55,14.71,14.5,,0.00%
05/23/2024,14.55,14.5,14.69,14.45,,0.34%
05/22/2024,14.5,14.46,14.655,14.4,,0.35%
05/21/2024,14.45,14.35,14.647,14.3,,0.70%
05/20/2024,14.35,14.265,14.54,14.225,,0.70%
05/17/2024,14.25,14.25,14.51,14.15,,0.35%
05/16/2024,14.2,14.23,14.4,14.15,,-0.21%
05/15/2024,14.23,14.2,14.4,14.015,,0.57%
05/14/2024,14.15,14.15,14.25,13.95,,0.35%
05/13/2024,14.1,14,14.15,13.85,,1.44%
05/10/2024,13.9,14,14.04,13.78,,-0.36%
05/09/2024,13.95,13.9,14.1,13.775,,0.72%
05/08/2024,13.85,13.85,14.02,13.67,,0.36%
05/07/2024,13.8,13.82,14.11,13.7,,0.22%
05/06/2024,13.77,13.75,13.825,13.65,,0.66%
05/03/2024,13.68,13.75,13.85,13.65,,-0.15%
05/02/2024,13.7,13.67,13.88,13.54,,0.37%
05/01/2024,13.65,13.67,13.7,13.67,,0.22%
04/30/2024,13.62,13.65,13.815,13.55,,0.15%
04/29/2024,13.6,13.55,13.7,13.475,,0.52%
04/26/2024,13.53,13.55,13.65,13.465,,0.30%
04/25/2024,13.49,13.52,13.695,13.4,,0.15%
04/24/2024,13.47,13.49,13.535,13.45,,0.15%
04/23/2024,13.45,13.45,13.55,13.45,,0.37%
04/22/2024,13.4,13.475,13.99,13.4,,0.00%
04/19/2024,13.4,13.45,13.495,13.35,,0.00%
04/18/2024,13.4,13.45,14.0026,13.35,,0.00%
04/17/2024,13.4,13.45,13.49,13.35,,0.00%
04/16/2024,13.4,13.45,13.485,13.35,,0.00%
04/15/2024,13.4,13.425,13.57,13.35,,0.00%
04/12/2024,13.4,13.45,13.4775,13.35,,0.00%
04/11/2024,13.4,13.45,13.45,13.45,,0.00%
04/10/2024,13.4,13.4,13.47,13.3,,0.37%
04/09/2024,13.35,13.4,13.53,13.35,,0.00%
04/08/2024,13.35,13.4,13.425,13.25,,0.38%
04/05/2024,13.3,13.35,13.475,13.275,,0.00%
04/04/2024,13.3,13.35,13.45,13.25,,0.00%
04/03/2024,13.3,13.35,13.5,13.2,,0.00%
04/02/2024,13.3,13.25,13.35,13.15,,0.76%
04/01/2024,13.2,13.2,13.2,13.2,,0.00%
03/29/2024,13.2,13.25,13.25,13.25,,0.00%
03/28/2024,13.2,13.2,13.325,13.05,,0.38%
03/27/2024,13.15,13.15,13.39,12.975,,0.38%
03/26/2024,13.1,13,13.16,12.975,,1.16%
03/25/2024,12.95,13.05,13.2,12.92,,-0.38%
03/22/2024,13,13.03,13.05,12.92,,0.15%
03/21/2024,12.98,13,13.0375,12.92,,0.23%
03/20/2024,12.95,13,13.0175,12.88,,0.00%
03/19/2024,12.95,12.93,13.0175,12.8,,0.54%
03/18/2024,12.88,12.9,13.0175,12.8,,0.23%
03/15/2024,12.85,12.93,12.93,12.9,,0.00%
03/14/2024,12.85,12.9,12.93,12.83,,0.00%
03/13/2024,12.85,12.9,12.915,12.85,,0.00%
03/12/2024,12.85,12.85,12.9,12.75,,0.39%
